Sample ID	Host_species
DPEF00003fc	Rhinolophus_hipposideros
DPEF00004fc	Rhinolophus_hipposideros
DPEF00005fc	Myotis_mystacinus
DPEF00007fc	Myotis_myotis
DPEF00012fc	Myotis_bechsteinii
DPEF00013fc	Plecotus_auritus
DPEF00014fc	NU
DPEF00020fc	Miniopterus_schreibersii
DPEF00021fc	NU
DPEF00022fc	Pipistrellus_pipistrellus
DPEF00025fc	Plecotus_auritus
DPEF00028fc	Pipistrellus_pipistrellus
DPEF00029fc	Pipistrellus_pipistrellus
DPEF00033fc	NU
DPEF00047fc	Eptesicus_serotinus
DPEF00050fc	Miniopterus_schreibersii
DPEF00053fc	Myotis_myotis
DPEF00054fc	Myotis_myotis
DPEF00055fc	Myotis_nattereri
DPEF00057fc	Pipistrellus_kuhlii
DPEF00060fc	Pipistrellus_pipistrellus
DPEF00062fc	Myotis_myotis
DPEF00063fc	Barbastella_barbastellus
DPEF00065fc	Barbastella_barbastellus
DPEF00066fc	Barbastella_barbastellus
DPEF00068fc	Myotis_nattereri
DPEF00069fc	Pipistrellus_pipistrellus
DPEF00071fc	Pipistrellus_pipistrellus
DPEF00072fc	Pipistrellus_pipistrellus
DPEF00080fc	Miniopterus_schreibersii
DPEF00084fc	Miniopterus_schreibersii
DPEF00085fc	Miniopterus_schreibersii
DPEF00086fc	Eptesicus_serotinus
DPEF00088fc	Miniopterus_schreibersii
DPEF00089fc	Miniopterus_schreibersii
DPEF00091fc	Pipistrellus_pipistrellus
DPEF00093fc	Eptesicus_serotinus
DPEF00116fc	Miniopterus_schreibersii
DPEF00117fc	Miniopterus_schreibersii
DPEF00118fc	Miniopterus_schreibersii
DPEF00119fc	Miniopterus_schreibersii
DPEF00121fc	Barbastella_barbastellus
DPEF00124fc	NU
DPEF00125fc	Myotis_myotis
DPEF00126fc	NU
DPEF00131fc	Miniopterus_schreibersii
DPEF00132fc	NU
DPEF00133fc	Miniopterus_schreibersii
DPEF00137fc	Miniopterus_schreibersii
DPEF00138fc	Miniopterus_schreibersii
DPEF00139fc	Miniopterus_schreibersii
DPEF00142fc	Miniopterus_schreibersii
DPEF00143fc	Miniopterus_schreibersii
DPEF00148fc	Miniopterus_schreibersii
DPEF00149fc	Miniopterus_schreibersii
DPEF00150fc	Miniopterus_schreibersii
DPEF00151fc	Miniopterus_schreibersii
DPEF00153fc	Miniopterus_schreibersii
DPEF00154fc	Miniopterus_schreibersii
DPEF00155fc	Miniopterus_schreibersii
DPEF00159fc	Miniopterus_schreibersii
DPEF00163fc	Myotis_emarginatus
DPEF00165fc	Miniopterus_schreibersii
DPEF00166fc	Miniopterus_schreibersii
DPEF00167fc	Miniopterus_schreibersii
DPEF00168fc	Rhinolophus_euryale
DPEF00169fc	NU
DPEF00170fc	NU
DPEF00171fc	NU
DPEF00172fc	Miniopterus_schreibersii
DPEF00173fc	NU
DPEF00174fc	Rhinolophus_euryale
DPEF00175fc	Miniopterus_schreibersii
DPEF00176fc	Rhinolophus_euryale
DPEF00177fc	Myotis_myotis
DPEF00178fc	Myotis_emarginatus
DPEF00181fc	Miniopterus_schreibersii
DPEF00184fc	Miniopterus_schreibersii
DPEF00185fc	Myotis_emarginatus
DPEF00187fc	Miniopterus_schreibersii
DPEF00189fc	NU
DPEF00198fc	NU
DPEF00200fc	Miniopterus_schreibersii
DPEF00202fc	Rhinolophus_ferrumequinum
DPEF00203fc	NU
DPEF00204fc	Miniopterus_schreibersii
DPEF00205fc	Rhinolophus_ferrumequinum
DPEF00206fc	Rhinolophus_ferrumequinum
DPEF00207fc	Miniopterus_schreibersii
DPEF00210fc	NU
DPEF00213fc	Miniopterus_schreibersii
DPEF00220fc	Rhinolophus_ferrumequinum
DPEF00221fc	Rhinolophus_ferrumequinum
DPEF00222fc	Miniopterus_schreibersii
DPEF00224fc	Miniopterus_schreibersii
DPEF00225fc	Miniopterus_schreibersii
DPEF00226fc	Miniopterus_schreibersii
DPEF00227fc	Miniopterus_schreibersii
DPEF00230fc	NU
DPEF00232fc	Myotis_emarginatus
DPEF00233fc	Miniopterus_schreibersii
DPEF00234fc	Miniopterus_schreibersii
DPEF00239fc	Myotis_emarginatus
DPEF00241fc	Myotis_emarginatus
DPEF00242fc	NU
DPEF00244fc	Rhinolophus_ferrumequinum
DPEF00248fc	Rhinolophus_ferrumequinum
DPEF00250fc	Rhinolophus_ferrumequinum
DPEF00251fc	Rhinolophus_ferrumequinum
DPEF00252fc	Rhinolophus_ferrumequinum
DPEF00253fc	Miniopterus_schreibersii
DPEF00256fc	Rhinolophus_ferrumequinum
DPEF00258fc	NU
DPEF00259fc	NU
DPEF00262fc	Rhinolophus_ferrumequinum
DPEF00264fc	Rhinolophus_ferrumequinum
DPEF00265fc	Miniopterus_schreibersii
DPEF00267fc	NU
DPEF00268fc	Miniopterus_schreibersii
DPEF00271fc	Rhinolophus_ferrumequinum
