Marker	Biosample	Replicate	Run	FastqFwd	FastqRev	Biosample_orig
COI	DPEF00003fc	1	galan	DPEF00003fc_S7_L001_R1_001.fastq.gz	DPEF00003fc_S7_L001_R2_001.fastq.gz	DPEF00003fc
COI	DPEF00003fc	2	galan	DPEF00003fcbis_S487_L001_R1_001.fastq.gz	DPEF00003fcbis_S487_L001_R2_001.fastq.gz	DPEF00003fcbis
COI	DPEF00003fc	3	galan	DPEF00003fcter_S967_L001_R1_001.fastq.gz	DPEF00003fcter_S967_L001_R2_001.fastq.gz	DPEF00003fcter
COI	DPEF00004fc	1	galan	DPEF00004fc_S193_L001_R1_001.fastq.gz	DPEF00004fc_S193_L001_R2_001.fastq.gz	DPEF00004fc
COI	DPEF00004fc	2	galan	DPEF00004fcbis_S673_L001_R1_001.fastq.gz	DPEF00004fcbis_S673_L001_R2_001.fastq.gz	DPEF00004fcbis
COI	DPEF00004fc	3	galan	DPEF00004fcter_S769_L001_R1_001.fastq.gz	DPEF00004fcter_S769_L001_R2_001.fastq.gz	DPEF00004fcter
COI	DPEF00005fc	1	galan	DPEF00005fc_S97_L001_R1_001.fastq.gz	DPEF00005fc_S97_L001_R2_001.fastq.gz	DPEF00005fc
COI	DPEF00005fc	2	galan	DPEF00005fcbis_S577_L001_R1_001.fastq.gz	DPEF00005fcbis_S577_L001_R2_001.fastq.gz	DPEF00005fcbis
COI	DPEF00005fc	3	galan	DPEF00005fcter_S1057_L001_R1_001.fastq.gz	DPEF00005fcter_S1057_L001_R2_001.fastq.gz	DPEF00005fcter
COI	DPEF00007fc	1	galan	DPEF00007fc_S201_L001_R1_001.fastq.gz	DPEF00007fc_S201_L001_R2_001.fastq.gz	DPEF00007fc
COI	DPEF00007fc	2	galan	DPEF00007fcbis_S681_L001_R1_001.fastq.gz	DPEF00007fcbis_S681_L001_R2_001.fastq.gz	DPEF00007fcbis
COI	DPEF00007fc	3	galan	DPEF00007fcter_S777_L001_R1_001.fastq.gz	DPEF00007fcter_S777_L001_R2_001.fastq.gz	DPEF00007fcter
COI	DPEF00012fc	1	galan	DPEF00012fc_S13_L001_R1_001.fastq.gz	DPEF00012fc_S13_L001_R2_001.fastq.gz	DPEF00012fc
COI	DPEF00012fc	2	galan	DPEF00012fcbis_S493_L001_R1_001.fastq.gz	DPEF00012fcbis_S493_L001_R2_001.fastq.gz	DPEF00012fcbis
COI	DPEF00012fc	3	galan	DPEF00012fcter_S973_L001_R1_001.fastq.gz	DPEF00012fcter_S973_L001_R2_001.fastq.gz	DPEF00012fcter
COI	DPEF00013fc	1	galan	DPEF00013fc_S19_L001_R1_001.fastq.gz	DPEF00013fc_S19_L001_R2_001.fastq.gz	DPEF00013fc
COI	DPEF00013fc	2	galan	DPEF00013fcbis_S499_L001_R1_001.fastq.gz	DPEF00013fcbis_S499_L001_R2_001.fastq.gz	DPEF00013fcbis
