run	sample	sample_type	habitat
prerun	Tpos1_prerun	mock	freshwater
prerun	Tpos2_prerun	mock	freshwater
prerun	TnegExt1_prerun	negative	NA
prerun	TnegExt2_prerun	negative	NA
prerun	TnegPai1_prerun	negative	NA
prerun	TnegPai2_prerun	negative	NA
prerun	TnegPCR_prerun	negative	NA
prerun	TnegTag_prerun	negative	NA
prerun	14Ben01	real	freshwater
prerun	14Ben02	real	freshwater
prerun	14Ben05	real	freshwater
prerun	14Ben06	real	freshwater
prerun	14Ben07	real	freshwater
prerun	14Ben08	real	freshwater
prerun	14Ben09	real	freshwater
prerun	14Cro01	real	freshwater
prerun	14Cro02	real	freshwater
prerun	14Cro03	real	freshwater
prerun	14Cro04	real	freshwater
prerun	14Cro06	real	freshwater
prerun	14Cro07	real	freshwater
prerun	14Cro09	real	freshwater
prerun	14Cro10	real	freshwater
prerun	14Cro11	real	freshwater
prerun	14Cro12	real	freshwater
prerun	14Cro13	real	freshwater
prerun	14Cro14	real	freshwater
prerun	14Cro15	real	freshwater
prerun	14Cro16	real	freshwater
prerun	14Cro17	real	freshwater
prerun	14Deo01	real	freshwater
prerun	14Deo02	real	freshwater
prerun	14Deo03	real	freshwater
prerun	14Deo04	real	freshwater
prerun	14Mon01	real	freshwater
prerun	14Mon02	real	freshwater
prerun	14Mon03	real	freshwater
prerun	14Mon04	real	freshwater
prerun	14Mon05	real	freshwater
prerun	14Mon06	real	freshwater
prerun	14Mon07	real	freshwater
prerun	14Mon09	real	freshwater
prerun	14Mon10	real	freshwater
prerun	P1	real	marin
prerun	P2	real	marin
prerun	P3	real	marin
prerun	P4	real	marin
prerun	P5	real	marin
